id,molecule,fgroups,xdata,ydata
00072493-54c2-405a-8c15-cc92b715ff2f,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.         0.00396481 0.0340938  ... 0.0013879  0.00098232 0.        ]
001a44fb-b369-401e-a8e6-6caa85e49f77,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.10259117 0.07848716 0.05716623 ... 0.00518825 0.00524564 0.00626035]
0020152b-16a6-4cf2-839e-89638ae8de40,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],"[1.97703227e-03 1.51318786e-02 1.89162384e-02 ... 0.00000000e+00
 9.26209516e-05 1.35248375e-04]"
0021578b-c9f5-46b5-9863-ed9502121f6e,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.08724946 0.10117261 0.11490386 ... 0.00938855 0.00989992 0.00736905]
0023d869-2493-4f87-9c69-dae35985b228,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.06733107 0.05151955 0.03973318 ... 0.0041168  0.00653276 0.00676802]
00273c3b-65c8-458a-98f5-fb1d63465915,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.10259117 0.07848716 0.05716623 ... 0.00518825 0.00524564 0.00626035]
003d88b9-c1d3-4d2e-a679-16f037b683f9,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.06596086 0.05306844 0.02462091 ... 0.00641959 0.00474986 0.00266045]
003fa936-4a88-442c-b18b-80dcba45e660,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 0.00000000e+00
 3.92495070e-05 9.08443289e-04]"
0054cec4-e1fb-4c4c-9a8e-2ba86be7ffbf,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.06141427 0.0566506  0.06297963 ... 0.00371331 0.00521546 0.00825347]
008c47c7-aaed-4f23-8dec-79e5a6d0f752,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.04640408 0.07944337 0.11094421 ... 0.00245425 0.00270008 0.00216386]
008f70a9-b29c-4355-87d9-2da27cf57268,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.00243653 0.         0.00196022 ... 0.00296941 0.00305628 0.00163166]
00a0ee9a-ac02-4c9e-96a6-656d069fb80a,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.40845442 0.39225712 0.35758194 ... 0.01087615 0.00759415 0.00414949]
00a860c7-45a2-48de-b700-bb14810ff564,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.         0.         0.0076587  ... 0.00572145 0.00671572 0.00656257]
00ae335e-d6fb-443b-a256-fe8ef0cb373a,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.         0.00010375 0.         ... 0.00048429 0.         0.        ]
00c77d17-aea8-44f9-bf43-c8927ab53db1,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],"[1.00000000e+00 9.70056185e-01 9.40523187e-01 ... 5.00244002e-06
 6.02281075e-06 7.17826109e-06]"
00e7882e-4ec0-4dd6-9e09-9819bbe9c1c3,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.23557436 0.24551617 0.25150235 ... 0.00503289 0.00389889 0.0029116 ]
00f8af6e-df65-43f9-8357-bf8d72553709,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.05324536 0.0609182  0.04647248 ... 0.00336502 0.00248093 0.00226718]
00fdf35f-dc8a-4e22-b25d-104335225e6a,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.26075007 0.28915006 0.26479314 ... 0.00480334 0.00448328 0.0033193 ]
00ff6a6d-510a-4e66-9ebd-36530fb4ba26,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.13749981 0.13211019 0.16025683 ... 0.00446301 0.0048762  0.00547431]
0138198f-958a-4ca2-89a7-997065b8aa95,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.03120785 0.00874729 0.         ... 0.00627589 0.00381042 0.00158222]
013ae679-6b1b-4ff6-b82e-b3286ac56d82,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.0086474  0.06196847 0.08332798 ... 0.00649691 0.00328755 0.00280961]
0143e99f-c5a7-4c8c-91b3-511f6babcebb,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.13377622 0.13818372 0.15926634 ... 0.00532772 0.0055981  0.00622396]
014c624d-7511-4163-a920-f3923a667fb1,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.         0.         0.01107702 ... 0.00299132 0.00467691 0.00628326]
01777059-73c3-4a2b-b793-b5f1452393b1,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.00253991 0.         0.         ... 0.00673547 0.00628364 0.00519532]
017addb3-4e30-4ad8-84bd-8890224bc963,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.0448652  0.03127063 0.00723881 ... 0.00571585 0.00367703 0.        ]
01a8d0ed-9cf2-46eb-80fb-2225aa0ae47c,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.01911607 0.02409162 0.03880411 ... 0.00341789 0.00448296 0.00480228]
01e8ac29-20c6-4f02-b7a5-87630752105f,Clc1cc(Cl)c(c(c1)Cl)C(=O)N(c1ccccc1C#Cc1ccccc1)Cc1ccccc1,"{'ester': False, 'carboxylic_acid': False, 'alkane': True, 'alkene': False, 'alcohol': False, 'arene': True, 'amine': False, 'ketone': False, 'ether': False, 'imine': False, 'sulfonamide': False, 'acyl_halide': False, 'phosphate': False, 'aldehyde': False, 'nitro': False, 'enamine': False, 'azo': False, 'sulfonic_acid': False, 'amide': True, 'peroxide': False}",[ 400  402  404 ... 3994 3996 3998],[0.07065389 0.0732087  0.08837509 ... 0.00401215 0.00370255 0.00431531]
